tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,conditions
41,28.8,35.4,48.7,0,0,0,19,996.9,6,4,25,1723.98,12.2,138.7593722,Clear
40.1,29.5,35.5,43.9,0,0,0,20.5,997.4,6,5,25,1558.45,10.6,132.6149006,Clear
40.1,31.3,35.3,53.6,0,0,0,22.3,997,6,6,25,1892.08,8.8,143.8035775,Partially cloudy
39.1,30.1,33.8,60.9,0,0,0,22.3,997,6,0,26,2058.42,9,154.8121738,Partially cloudy
34.4,28.1,30.5,74.9,0,0,0,24.1,999.8,6,1,26,2284.45,6.3,173.6733571,Partially cloudy
33.8,28,29.7,85.4,0.03,100,4.17,14.8,995.7,7,5,27,2536.38,5.8,173.3162651,"Rain, Partially cloudy"
43.1,29.6,35.2,54.9,3.403,100,4.17,23.4,995.7,6,2,25,1932.48,13.5,145.2177382,"Rain, Partially cloudy"
36,26,30.6,72,0,0,0,20.5,997.4,6,4,26,2203.2,10,173.3473516,Partially cloudy
37.1,28.1,32.5,57.1,0,0,0,20.9,998.5,6,6,26,1855.75,9,157.9815293,Partially cloudy
35.4,27.5,31.3,76.4,0,0,0,15.5,999.9,7,5,28,2391.32,7.9,168.9760036,Partially cloudy
30,23,26.1,83.4,17.268,100,16.67,14,995.8,6,3,26,2176.74,7,197.0782507,"Rain, Partially cloudy"
35.5,28,31.3,76.7,0,0,0,18.4,999.3,7,0,29,2400.71,7.5,168.8884097,Partially cloudy
38.9,25.1,32.3,67.1,8.285,100,8.33,33.6,995.8,6,5,23,2167.33,13.8,164.0531185,"Rain, Partially cloudy"
38,28.9,33.6,66,5.955,100,4.17,18.4,995.9,7,4,28,2217.6,9.1,157.5958154,"Rain, Partially cloudy"
34,29,31.2,70.1,0.34,100,4.17,15.1,996,7,1,28,2187.12,5,170.0820898,"Rain, Partially cloudy"
35.1,28.1,31.2,76.9,0,0,0,18.4,995.7,7,4,29,2399.28,7,169.3718733,Partially cloudy
31.3,24,27.1,92.2,120.312,100,8.33,18.4,999.5,7,5,29,2498.62,7.3,183.0162415,"Rain, Overcast"
36.4,28,30.9,82.9,0.415,100,4.17,11.2,996.1,8,0,32,2561.61,8.4,168.1311325,"Rain, Partially cloudy"
36,29,32.7,66.9,0.1,100,4.17,14.8,996.1,7,0,28,2187.63,7,162.0663175,"Rain, Partially cloudy"
30,26,27.5,90.9,8.507,100,12.5,16.3,996.1,7,4,29,2499.75,4,181.8668052,"Rain, Partially cloudy"
42.2,26.7,34.8,30.8,0.979,100,4.17,26.9,996.1,5,5,20,1071.84,15.5,111.8565634,"Rain, Partially cloudy"
39.2,27,31.9,63.9,0.851,100,4.17,14.8,996.2,6,1,26,2038.41,12.2,164.9255562,"Rain, Partially cloudy"
34.1,25.1,29.6,81.3,0,0,0,16.6,996.2,7,4,30,2406.48,9,176.5922662,Partially cloudy
38,26.1,32.4,61.9,0.299,100,4.17,16.6,996.4,6,6,23,2005.56,11.9,161.6167508,"Rain, Partially cloudy"
41,31.7,35.1,61.9,3.585,100,8.33,17.5,996.5,7,4,27,2172.69,9.3,149.6343597,"Rain, Partially cloudy"
34,28,29.8,78.6,21.565,100,8.33,24.1,996.5,7,4,27,2342.28,6,176.6320324,"Rain, Partially cloudy"
