tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,condition_severity
22.1,7.9,15.0,71.4,0.0,0,0.0,10.4,1016.7,2,2,8,1071.0,14.2,273.5545155,1
24.0,10.1,16.3,72.2,0.0,0,0.0,12.2,1014.4,2,3,8,1176.86,13.9,264.5709931,0
24.1,10.3,17.0,72.3,0.0,0,0.0,18.4,1014.1,2,4,8,1229.1,13.8,259.5016816,1
32.5,27.5,29.7,86.3,3.045,100,8.33,13.0,997.7,8,4,31,2563.11,5.0,172.5849239,2
21.0,12.0,15.7,86.3,0.0,0,0.0,14.8,1019.1,2,6,8,1354.91,9.0,272.8937514,1
22.2,9.0,15.2,77.0,0.0,0,0.0,14.8,1018.9,2,0,9,1170.4,13.2,276.1482238,1
24.5,10.4,17.4,67.3,0.0,0,0.0,11.2,1017.2,2,1,9,1171.02,14.1,251.891974,1
33.0,25.9,28.8,86.4,0.2,100,4.17,13.7,997.7,7,6,29,2488.32,7.1,177.9564185,2
34.0,28.0,30.1,87.2,30.954,100,12.5,16.6,997.7,7,0,29,2624.72,6.0,169.4144135,2
28.8,25.2,27.0,96.4,73.254,100,20.83,20.5,997.7,8,3,33,2602.8,3.6,178.219667,2
25.2,11.6,18.8,62.1,0.0,0,0.0,20.5,1016.4,3,3,11,1167.48,13.6,235.9183134,0
26.2,11.4,19.0,61.3,0.0,0,0.0,14.8,1015.2,3,4,11,1164.7,14.8,233.4911817,0
28.6,12.4,21.2,59.9,0.0,0,0.0,10.9,1016.3,3,5,11,1269.88,16.2,218.2163686,0
30.8,14.6,22.8,57.6,0.0,0,0.0,18.4,1015.8,3,6,11,1313.28,16.2,205.8740943,0
33.7,15.9,24.7,59.8,0.0,0,0.0,17.6,1012.4,3,0,12,1477.06,17.8,198.4406166,1
35.0,27.0,30.3,77.9,19.909,100,8.33,11.3,997.8,7,5,28,2360.37,8.0,174.036891,2
27.7,15.0,21.6,61.0,0.0,0,0.0,26.7,1013.5,3,2,12,1317.6,12.7,217.3798324,0
27.7,14.0,21.2,56.0,0.0,0,0.0,18.4,1011.4,3,3,12,1187.2,13.7,212.0963359,1
31.5,15.0,23.1,56.4,0.0,0,0.0,18.4,1008.0,3,4,12,1302.84,16.5,202.4640635,1
31.5,18.0,24.6,56.7,0.0,0,0.0,14.0,1007.1,3,5,12,1394.82,13.5,195.0271764,0
32.7,27.0,29.8,70.1,0.015,100,4.17,14.8,997.8,6,2,24,2088.98,5.7,177.4670578,2
37.0,28.8,33.0,74.6,0.03,100,4.17,14.8,997.8,7,6,30,2461.8,8.2,160.4978466,2
31.1,17.0,24.5,60.2,0.0,0,0.0,10.4,1011.2,3,1,13,1474.9,14.1,199.9873297,1
31.7,20.7,25.3,54.3,0.0,0,0.0,14.0,1011.1,3,2,13,1373.79,11.0,188.0416272,1
31.6,25.0,28.1,90.8,0.1,100,4.17,14.8,997.8,6,1,25,2551.48,6.6,178.1248362,2
30.9,26.2,27.8,93.4,28.703,100,16.67,15.3,997.8,6,4,26,2596.52,4.7,177.0030827,2
36.5,27.6,33.1,57.4,0.085,100,4.17,15.8,997.8,7,6,26,1899.94,8.9,155.6429955,2
30.1,17.2,24.3,49.6,0.0,0,0.0,29.6,1010.7,3,6,13,1205.28,12.9,184.811449,1
30.5,15.0,23.9,47.3,0.0,0,0.0,27.7,1009.0,3,0,14,1130.47,15.5,182.0016152,1
32.0,27.0,28.8,85.9,2.344,100,12.5,16.6,997.8,7,1,30,2473.92,5.0,178.3603961,2
33.1,22.7,27.9,39.0,0.0,0,0.0,14.3,1011.3,4,0,16,1088.1,10.4,148.2587093,1
36.1,22.2,29.6,39.6,0.0,0,0.0,11.2,1010.3,4,1,16,1172.16,13.9,144.0292502,1
32.2,26.0,28.3,92.5,148.012,100,8.33,16.6,997.8,7,3,30,2617.75,6.2,174.9016844,2
32.4,22.0,27.4,41.0,0.0,0,0.0,24.1,1007.3,4,3,16,1123.4,10.4,154.460125,1
35.8,25.0,31.1,77.7,12.838,100,8.33,22.3,997.8,8,2,33,2416.47,10.8,169.6542553,2
33.0,20.0,25.8,52.8,0.0,0,0.0,13.0,1011.9,4,5,16,1362.24,13.0,183.342007,1
35.0,20.4,28.2,40.4,0.0,0,0.0,13.0,1011.4,4,6,16,1139.28,14.6,150.3726792,1
37.0,20.6,29.1,30.6,0.0,0,0.0,16.9,1010.8,4,0,17,890.46,16.4,123.8780101,1
37.4,23.0,30.1,28.0,0.0,0,0.0,25.3,1012.6,4,1,17,842.8,14.4,114.5966581,0
37.0,23.0,30.0,31.0,0.0,0,0.0,16.6,1010.3,4,2,17,930.0,14.0,122.8263432,1
38.0,22.8,31.0,30.5,0.0,0,0.0,22.3,1007.2,4,3,17,945.5,15.2,119.2704016,0
38.6,22.7,31.6,29.4,0.0,0,0.0,20.2,1007.2,4,4,17,929.04,15.9,115.2163729,0
39.0,24.2,32.3,29.1,0.0,0,0.0,20.1,1006.9,4,5,17,939.93,14.8,113.0396366,1
40.0,23.6,31.5,29.4,0.0,0,0.0,21.3,1008.0,4,6,17,926.1,16.4,115.4245899,0
41.0,21.0,32.5,23.9,0.0,0,0.0,24.6,1006.9,4,0,18,776.75,20.0,99.17642726,0
41.0,23.9,33.5,24.3,0.0,0,0.0,24.3,1005.4,4,1,18,814.05,17.1,98.80090063,0
43.6,25.1,34.5,21.8,0.0,0,0.0,17.3,1005.1,4,2,18,752.1,18.5,90.94773077,0
32.6,24.0,27.0,90.9,38.279,100,16.67,26.6,997.8,6,6,24,2454.3,8.6,185.1248688,2
35.8,28.0,31.1,79.8,0.766,100,4.17,13.8,997.9,8,6,33,2481.78,7.8,168.7772137,2
35.0,23.0,28.9,50.4,0.0,0,0.0,20.6,1005.6,5,3,20,1456.56,12.0,165.8437187,1
36.5,25.0,30.7,45.8,0.0,0,0.0,19.5,1004.5,5,4,20,1406.06,11.5,151.664593,0
37.0,25.0,30.4,46.7,0.0,0,0.0,27.2,1007.7,5,5,20,1419.68,12.0,154.2150344,1
39.0,25.0,31.9,41.6,0.0,0,0.0,23.6,1008.0,5,6,20,1327.04,14.0,140.4561831,0
38.0,25.5,32.2,33.8,0.0,0,0.0,21.6,1008.0,5,0,21,1088.36,12.5,124.1905664,0
40.5,26.1,33.2,30.5,0.0,0,0.0,20.0,1006.3,5,1,21,1012.6,14.4,114.5084384,0
